Adresse,Postnummer,Poststed,Lat,Lon
Liljevegen 10,6008,ÅLESUND,62.47305236204697,6.211693705914479
Liljevegen 11,6008,ÅLESUND,62.473089888686346,6.210875118350743
Liljevegen 13,6008,ÅLESUND,62.473315627422856,6.210485314523547
Liljevegen 14,6008,ÅLESUND,62.473304937096195,6.211388153287787
Liljevegen 15,6008,ÅLESUND,62.473305443867815,6.21087440419965
Liljevegen 16,6008,ÅLESUND,62.473564993671935,6.211277132613343
Liljevegen 2,6008,ÅLESUND,62.472561755324605,6.212062854356843
Liljevegen 3,6008,ÅLESUND,62.47258083840583,6.211574109820871
Liljevegen 4,6008,ÅLESUND,62.47269101785721,6.21197092016868
Liljevegen 7,6008,ÅLESUND,62.47290703907783,6.211163879869897
Nørvegata 10A,6008,ÅLESUND,62.470881220626815,6.188551510854542
Nørvegata 10B,6008,ÅLESUND,62.4708652406206,6.188846038445005
Nørvegata 10C,6008,ÅLESUND,62.47084966742472,6.189214268526367
Nørvegata 11A,6008,ÅLESUND,62.470804927666954,6.201690370979578
Nørvegata 11B,6008,ÅLESUND,62.470890991104774,6.201668727851875
Nørvegata 11C,6008,ÅLESUND,62.470885950355076,6.201359294648771
Nørvegata 12A,6008,ÅLESUND,62.4708254349614,6.189659862662613
Nørvegata 12B,6008,ÅLESUND,62.47081109702611,6.189974712096842
Nørvegata 12C,6008,ÅLESUND,62.470781869671306,6.190307354079
Nørvegata 14A,6008,ÅLESUND,62.47077291258392,6.190754522626397
Nørvegata 14B,6008,ÅLESUND,62.470752648542216,6.191086320753126
Nørvegata 14C,6008,ÅLESUND,62.47074051476894,6.191410514678966
Nørvegata 16A,6008,ÅLESUND,62.47072381301066,6.191884654818479
Nørvegata 16B,6008,ÅLESUND,62.47070354627403,6.192216451701681
Nørvegata 16C,6008,ÅLESUND,62.47069185407307,6.192528037085742
Nørvegata 18A,6008,ÅLESUND,62.47067392466346,6.192976045947326
Nørvegata 18B,6008,ÅLESUND,62.47065365532413,6.193307841602033
Nørvegata 18C,6008,ÅLESUND,62.470632995481914,6.193620268051846
Nørvegata 1A,6008,ÅLESUND,62.4713514806432,6.185440551113386
Nørvegata 1B,6008,ÅLESUND,62.471415911071446,6.186390225688965
Nørvegata 1C,6008,ÅLESUND,62.471721206531726,6.187071161890834
Nørvegata 22A,6008,ÅLESUND,62.470818870600766,6.2042175896662215
Nørvegata 22B,6008,ÅLESUND,62.470533534578344,6.204321905898556
Nørvegata 23,6008,ÅLESUND,62.471511717611904,6.206520277662798
Nørvegata 24,6008,ÅLESUND,62.47101917580041,6.204800420364641
Nørvegata 27,6008,ÅLESUND,62.47161761486211,6.2077717603935945
Nørvegata 28A,6008,ÅLESUND,62.470910001680416,6.20517933593838
Nørvegata 28B,6008,ÅLESUND,62.4707579799091,6.2052129593279615
Nørvegata 28C,6008,ÅLESUND,62.470588415647256,6.205267628222076
Nørvegata 29,6008,ÅLESUND,62.471643687688925,6.208176847841907
Nørvegata 30A,6008,ÅLESUND,62.470883217763316,6.20572092362402
Nørvegata 30B,6008,ÅLESUND,62.470902712062504,6.206093237467421
Nørvegata 30C,6008,ÅLESUND,62.47092015539192,6.2064214990618725
Nørvegata 31,6008,ÅLESUND,62.47169040338462,6.208715848967315
Nørvegata 32A,6008,ÅLESUND,62.47099856635295,6.207053773601033
Nørvegata 32B,6008,ÅLESUND,62.470864691426904,6.20710102174162
Nørvegata 32C,6008,ÅLESUND,62.470754512476695,6.207142949957621
Nørvegata 33,6008,ÅLESUND,62.4715905714922,6.209113291384578
Nørvegata 34A,6008,ÅLESUND,62.47059871887233,6.207575886976287
Nørvegata 34B,6008,ÅLESUND,62.47075772091056,6.207890919336981
Nørvegata 34C,6008,ÅLESUND,62.470581128798216,6.2080432556096765
Nørvegata 34D,6008,ÅLESUND,62.47063060769294,6.20827149561549
Nørvegata 34E,6008,ÅLESUND,62.47088256294259,6.208294336083981
Nørvegata 34F,6008,ÅLESUND,62.47079225900374,6.208301608145226
Nørvegata 36A,6008,ÅLESUND,62.47106641860537,6.208056130888107
Nørvegata 36B,6008,ÅLESUND,62.47106913251721,6.208191715958455
